Issue,URL,Screenshot (If necessary),Status
"When I logged in to my account, it states that I have 25 summary credits. However, I haven't purchased any summary tokens yet.",https://app.testifi.ai/dashboard,,"EXPECTED BEHAVIOR - 25 credits were manually granted for testing. In production, new users start with 0 credits."
,,,
I purchased 1 token and it did update to reflect 26 summary credits which includes the 1 token I purchased.,https://app.testifi.ai/success,,"✅ WORKING AS EXPECTED - Webhook is processing payments correctly and updating credits."
,,,
I attempted to upload the Sackler deposition transcript to process a deposition summary and it states that it is uploading. It never uploaded the transcript on my end. ,,,⚠️ INVESTIGATE - Check backend/worker logs for upload failures. May be file size or timeout issue. Need to add upload progress indicator and better error handling.
,,,
I went to the purchase history page and I shows that 25 credits were purchased. This was the 25 credits that automatically appeared when I logged in. It did not capture the 1 token that I purchased which I intended to use to process a deposition summary. ,https://app.testifi.ai/account/billing,,🔧 FIX REQUIRED - Purchase history should only show actual Stripe purchases. Filter out manual credit grants from display. The 1 token purchase should appear with payment intent ID and timestamp.
,,,
I switched to the AI Generated Summary page and then after a minute or two the icon popped up asking if I wanted an email notification when the summary is complete. ,https://app.testifi.ai/summaries,,"✅ WORKING AS EXPECTED - Email notification dialog appears on summaries page as designed."
,,,
"It began processing the summary and deducted 1 token when I went to the AI Generated Summary page. Once it completed processing the summary, it lists the pages and total pages, and Last page column and it displays the processing time was 12 minutes which is all accurate. Is it possible to remove the ""pages"" column and keep the ""Total Pages"" and ""Last page"" columns. I really like the last page column feature because it shows in real time the pages that it is processing until it gets to the last page. This is a great indicator to the customer as to how many pages it has processed and how many more pages it has to go. Thanks.",,,🔧 UI CHANGE - Remove 'Pages' column from summaries table. Keep 'Total Pages' and 'Last Page' columns for real-time progress tracking.
,,,
"It processed the summary in 12 minutes. When I go to preview mode it does display the title/cover page with the Testifi AI Logo, Summary Title, and the number of pages. Woohoo!",,,✅ WORKING AS EXPECTED - Cover page displaying correctly with logo and metadata.
,,,
"When I clicked on preview, it generated the preview but there is the ""Note"" section that contains instructions that I don't believe was intended to be displayed. It also has unknown for the name of the deponent and the date of the case number is unknown and the date of the deposition is unknown as well. For some reason, it is still showing the Q and A in the testimony column. The testimony column needs to reflect a narrative summary and not Q: and A:. Thanks.",,,🔧 MULTIPLE FIXES REQUIRED: 1) Remove instructional NOTE section from preview output. 2) Extract deponent name from upload form (already captured). 3) Update AI prompt to generate NARRATIVE summaries instead of Q&A format. 4) Improve metadata extraction for case/deposition dates.
,,,
"When I downloaded the deposition summary in .pdf format, it states that is is 1,135 pages. It also jumbles the wording on the title/cover page. It also contains the ""Note"" section that contains instructions that I don't believe was intended to be displayed. It also has unknown for the name of the deponent and the date of the case number is unknown and the date of the deposition is unknown as well. For some reason, it is still showing the Q and A in the testimony column. The testimony column needs to reflect a narrative summary and not Q: and A:. Thanks.",,,🔧 CRITICAL FIXES: 1) Fix PDF page count calculation (should be ~30 pages not 1135). 2) Fix title/cover page formatting/layout. 3) Remove NOTE section. 4) Populate deponent metadata from form. 5) Update AI to generate narrative summaries. 6) Extract case/depo dates from transcript.
,,,
"When I downloaded the summary in Word format, the title page appears clear. However, it does contain the ""Note"" section and the testimony column is appearing in Q & A format. I also noticed that it is not grouping the summary pages but rather summarizing the pages 1 by 1 instead of a 4 to 1 page summary (i.e., pages 1-4 narrative summary; pages 5-9 narrative summary, etc.) Because it is summarizing it page by page the length of the depos summary is 97 pages in word format. A typical depo summary of a deposition transcript that is around 330 pages total should average around 20-30 pages total for the deposition summary in Word format.",,,🔧 CRITICAL - AI PROMPT ISSUE: 1) Remove NOTE section. 2) AI must generate NARRATIVE format (not Q&A). 3) AI must group 4+ transcript pages per summary row (4:1 compression ratio). Current 1:1 ratio creates 97 pages instead of target 20-30 pages. Need to update summaryPrompt.json to enforce compression and narrative style.
,,,
When I downloaded the deposition summary in .txt format it is has the same issues as the deposition summary in Word format as well. The Note section is listed and it's in Q&A format in the testimony section. ,,,"🔧 SAME AS WORD - Remove NOTE section, enforce narrative format, ensure 4:1 compression ratio."


