
> backend@1.0.0 dev
> ts-node src/server.ts

✔️  Backend listening on port 4000
[2025-10-04T03:29:19.647Z] GET /api/user
[2025-10-04T03:29:19.713Z] GET /api/billing/balance
[2025-10-04T03:29:19.726Z] GET /api/user/credits
[2025-10-04T03:29:19.730Z] GET /api/user
[2025-10-04T03:29:19.734Z] GET /api/billing/balance
[2025-10-04T03:29:19.941Z] GET /api/purchase/user-history
[2025-10-04T13:10:13.844Z] GET /api/user
[2025-10-04T13:10:13.856Z] GET /api/billing/balance
[2025-10-04T13:10:14.866Z] GET /api/billing/balance
[2025-10-04T13:10:14.868Z] GET /api/user
[2025-10-04T13:10:16.876Z] GET /api/billing/balance
[2025-10-04T13:10:16.879Z] GET /api/user
[2025-10-04T13:10:20.885Z] GET /api/billing/balance
[2025-10-04T13:10:20.887Z] GET /api/user
[2025-10-04T13:10:23.012Z] POST /api/auth/login
[2025-10-04T13:10:23.217Z] GET /api/user
[2025-10-04T13:10:23.219Z] GET /api/billing/balance
[2025-10-04T13:10:27.251Z] GET /api/billing/balance
[2025-10-04T13:10:28.523Z] GET /api/user/credits
[2025-10-04T13:10:28.528Z] GET /api/billing/balance
[2025-10-04T13:10:28.545Z] GET /api/purchase/user-history
[2025-10-04T13:12:42.819Z] GET /api/user/credits
[2025-10-04T13:12:42.824Z] GET /api/user
[2025-10-04T13:12:42.828Z] GET /api/billing/balance
[2025-10-04T13:12:42.836Z] GET /api/user
[2025-10-04T13:12:43.011Z] GET /api/billing/balance
[2025-10-04T13:12:43.277Z] GET /api/purchase/user-history
[2025-10-04T13:15:06.024Z] GET /api/user
[2025-10-04T13:15:06.030Z] GET /api/billing/balance
[2025-10-04T13:15:06.042Z] GET /api/user
[2025-10-04T13:15:06.045Z] GET /api/user/credits
[2025-10-04T13:15:06.047Z] GET /api/billing/balance
[2025-10-04T13:15:06.058Z] GET /api/purchase/user-history
[2025-10-04T13:15:42.584Z] GET /api/billing/balance
[2025-10-04T13:16:09.628Z] GET /api/billing/balance
[2025-10-04T13:16:09.650Z] GET /api/summaries
[2025-10-04T13:16:11.103Z] GET /api/preview?id=d7cf6880-c07b-45af-93fa-53689ca859de
[2025-10-04T13:16:17.777Z] GET /api/billing/balance
[2025-10-04T13:16:37.255Z] POST /api/upload
[2025-10-04T13:16:46.267Z] POST /api/billing/debit
[2025-10-04T13:16:46.327Z] GET /api/billing/balance
[2025-10-04T13:17:31.333Z] GET /api/billing/balance
[2025-10-04T13:48:26.182Z] GET /api/user
[2025-10-04T13:48:26.190Z] GET /api/billing/balance
[2025-10-04T13:48:26.193Z] GET /api/user/credits
[2025-10-04T13:48:26.209Z] GET /api/user
[2025-10-04T13:48:26.211Z] GET /api/billing/balance
[2025-10-04T13:48:26.216Z] GET /api/purchase/user-history
[2025-10-04T16:39:01.681Z] GET /api/user
[2025-10-04T16:39:01.748Z] GET /api/billing/balance
[2025-10-04T16:39:02.756Z] GET /api/user
[2025-10-04T16:39:02.761Z] GET /api/billing/balance
[2025-10-04T16:39:04.768Z] GET /api/user
[2025-10-04T16:39:04.771Z] GET /api/billing/balance
[2025-10-04T16:39:08.711Z] POST /api/auth/login
[2025-10-04T16:39:09.046Z] GET /api/user
[2025-10-04T16:39:09.079Z] GET /api/billing/balance
[2025-10-04T16:39:15.175Z] GET /api/billing/balance
[2025-10-04T16:39:19.197Z] GET /api/billing/balance
[2025-10-04T16:39:19.201Z] GET /api/summaries
[2025-10-04T16:39:20.424Z] GET /api/billing/balance
[2025-10-04T16:39:42.847Z] POST /api/upload
[2025-10-04T16:39:55.135Z] POST /api/billing/debit
[2025-10-04T16:39:55.197Z] GET /api/billing/balance
[2025-10-04T16:39:55.223Z] GET /api/summaries
[2025-10-04T16:39:56.524Z] POST /api/email-notifications
[2025-10-04T16:40:05.359Z] GET /api/summaries
[2025-10-04T16:40:15.386Z] GET /api/summaries
[2025-10-04T16:40:25.422Z] GET /api/summaries
[2025-10-04T16:40:35.458Z] GET /api/summaries
[2025-10-04T16:40:45.488Z] GET /api/summaries
[2025-10-04T16:40:55.525Z] GET /api/summaries
[2025-10-04T16:41:05.564Z] GET /api/summaries
[2025-10-04T16:41:15.600Z] GET /api/summaries
[2025-10-04T16:41:25.637Z] GET /api/summaries
[2025-10-04T16:41:35.673Z] GET /api/summaries
[2025-10-04T16:41:45.709Z] GET /api/summaries
[2025-10-04T16:41:55.746Z] GET /api/summaries
[2025-10-04T16:42:05.780Z] GET /api/summaries
[2025-10-04T16:42:15.817Z] GET /api/summaries
[2025-10-04T16:42:25.857Z] GET /api/summaries
[2025-10-04T16:42:35.893Z] GET /api/summaries
[2025-10-04T16:42:45.931Z] GET /api/summaries
[2025-10-04T16:42:55.967Z] GET /api/summaries
[2025-10-04T16:43:05.995Z] GET /api/summaries
[2025-10-04T16:43:16.029Z] GET /api/summaries
[2025-10-04T16:43:26.066Z] GET /api/summaries
[2025-10-04T16:43:36.102Z] GET /api/summaries
[2025-10-04T16:43:46.132Z] GET /api/summaries
[2025-10-04T16:43:56.158Z] GET /api/summaries
[2025-10-04T16:44:06.195Z] GET /api/summaries
[2025-10-04T16:44:16.231Z] GET /api/summaries
[2025-10-04T16:44:26.268Z] GET /api/summaries
[2025-10-04T16:44:36.305Z] GET /api/summaries
[2025-10-04T16:44:46.344Z] GET /api/summaries
[2025-10-04T16:44:56.383Z] GET /api/summaries
[2025-10-04T16:45:06.419Z] GET /api/summaries
[2025-10-04T16:45:16.454Z] GET /api/summaries
[2025-10-04T16:45:26.493Z] GET /api/summaries
[2025-10-04T16:45:36.553Z] GET /api/summaries
[2025-10-04T16:45:46.591Z] GET /api/summaries
[2025-10-04T16:45:56.629Z] GET /api/summaries
[2025-10-04T16:46:06.664Z] GET /api/summaries
[2025-10-04T16:46:16.702Z] GET /api/summaries
[2025-10-04T16:46:26.741Z] GET /api/summaries
[2025-10-04T16:46:36.780Z] GET /api/summaries
[2025-10-04T16:46:46.816Z] GET /api/summaries
[2025-10-04T16:46:56.854Z] GET /api/summaries
[2025-10-04T16:47:06.888Z] GET /api/summaries
[2025-10-04T16:47:16.946Z] GET /api/summaries
[2025-10-04T16:47:26.987Z] GET /api/summaries
[2025-10-04T16:47:37.025Z] GET /api/summaries
[2025-10-04T16:47:47.059Z] GET /api/summaries
[2025-10-04T16:47:57.095Z] GET /api/summaries
[2025-10-04T16:48:07.132Z] GET /api/summaries
[2025-10-04T16:48:17.170Z] GET /api/summaries
[2025-10-04T16:48:27.199Z] GET /api/summaries
[2025-10-04T16:48:37.234Z] GET /api/summaries
[2025-10-04T16:48:47.275Z] GET /api/summaries
