Issue,URL,Screenshot (If necessary),Status
"When I logged in to my account, it states that I have 25 summary credits. However, I haven't purchased any summary tokens yet.",https://app.testifi.ai/dashboard,,
,,,
I purchased 1 token and it did update to reflect 26 summary credits which includes the 1 token I purchased.,https://app.testifi.ai/success,,
,,,
I attempted to upload the Sackler deposition transcript to process a deposition summary and it states that it is uploading. It never uploaded the transcript on my end. ,,,
,,,
I went to the purchase history page and I shows that 25 credits were purchased. This was the 25 credits that automatically appeared when I logged in. It did not capture the 1 token that I purchased which I intended to use to process a deposition summary. ,https://app.testifi.ai/account/billing,,
,,,
I switched to the AI Generated Summary page and then after a minute or two the icon popped up asking if I wanted an email notification when the summary is complete. ,https://app.testifi.ai/summaries,,
,,,
"It began processing the summary and deducted 1 token when I went to the AI Generated Summary page. Once it completed processing the summary, it lists the pages and total pages, and Last page column and it displays the processing time was 12 minutes which is all accurate. Is it possible to remove the ""pages"" column and keep the ""Total Pages"" and ""Last page"" columns. I really like the last page column feature because it shows in real time the pages that it is processing until it gets to the last page. This is a great indicator to the customer as to how many pages it has processed and how many more pages it has to go. Thanks.",,,
,,,
"It processed the summary in 12 minutes. When I go to preview mode it does display the title/cover page with the Testifi AI Logo, Summary Title, and the number of pages. Woohoo!",,,
,,,
"When I clicked on preview, it generated the preview but there is the ""Note"" section that contains instructions that I don't believe was intended to be displayed. It also has unknown for the name of the deponent and the date of the case number is unknown and the date of the deposition is unknown as well. For some reason, it is still showing the Q and A in the testimony column. The testimony column needs to reflect a narrative summary and not Q: and A:. Thanks.",,,
,,,
"When I downloaded the deposition summary in .pdf format, it states that is is 1,135 pages. It also jumbles the wording on the title/cover page. It also contains the ""Note"" section that contains instructions that I don't believe was intended to be displayed. It also has unknown for the name of the deponent and the date of the case number is unknown and the date of the deposition is unknown as well. For some reason, it is still showing the Q and A in the testimony column. The testimony column needs to reflect a narrative summary and not Q: and A:. Thanks.",,,
,,,
"When I downloaded the summary in Word format, the title page appears clear. However, it does contain the ""Note"" section and the testimony column is appearing in Q & A format. I also noticed that it is not grouping the summary pages but rather summarizing the pages 1 by 1 instead of a 4 to 1 page summary (i.e., pages 1-4 narrative summary; pages 5-9 narrative summary, etc.) Because it is summarizing it page by page the length of the depos summary is 97 pages in word format. A typical depo summary of a deposition transcript that is around 330 pages total should average around 20-30 pages total for the deposition summary in Word format.",,,
,,,
When I downloaded the deposition summary in .txt format it is has the same issues as the deposition summary in Word format as well. The Note section is listed and it's in Q&A format in the testimony section. ,,,
